round,day,home,away,stadium,home_state,away_state
16,2023-07-22,Palmeiras,Fortaleza,Allianz Parque,SP,CE
16,2023-07-23,Santos,Botafogo,Estádio Urbano Caldeira,SP,RJ
16,2023-07-22,Cuiabá-MT,São Paulo,Arena Pantanal,,SP
16,2023-07-23,Vasco da Gama,Athletico-PR,Estádio São Januário,RJ,PR
16,2023-07-22,EC Bahia,Corinthians,Arena Fonte Nova,BA,SP
16,2023-07-23,Grêmio,Atlético-MG,Arena do Grêmio,RS,MG
16,2023-07-23,Cruzeiro,Goiás,Estádio Raimundo Sampaio,MG,GO
16,2023-07-25,Coritiba FC,Fluminense,Estádio Major Antônio Couto Pereira,,RJ
16,2023-07-23,RB Bragantino,Internacional,Estádio Nabi Abi Chedid,,RS
17,2023-07-30,Goiás,Grêmio,Estádio Serra Dourada,GO,RS
17,2023-07-30,América-MG,Palmeiras,Estádio Raimundo Sampaio,MG,SP
17,2023-07-29,Fluminense,Santos,Estádio Jornalista Mário Filho,RJ,SP
17,2023-07-29,Athletico-PR,Cruzeiro,Ligga Arena,PR,MG
17,2023-07-30,Atlético-MG,Flamengo,Estádio Raimundo Sampaio,MG,RJ
17,2023-07-30,São Paulo,EC Bahia,Estádio Cícero Pompeu de Toledo,SP,BA
17,2023-07-29,Internacional,Cuiabá-MT,Estádio Beira-Rio,RS,
17,2023-07-29,Fortaleza,RB Bragantino,Estádio Governador Plácido Castelo,CE,
17,2023-07-30,Botafogo,Coritiba FC,Estádio Olímpico Nilton Santos,RJ,
17,2023-07-29,Corinthians,Vasco da Gama,Neo Química Arena ,SP,RJ
18,2023-08-06,EC Bahia,América-MG,Arena Fonte Nova,BA,MG
18,2023-08-05,Goiás,Fortaleza,Estádio Serra Dourada,GO,CE
18,2023-08-06,Fluminense,Palmeiras,Estádio Jornalista Mário Filho,RJ,SP
18,2023-08-06,Coritiba FC,RB Bragantino,Estádio Major Antônio Couto Pereira,,
18,2023-08-05,Santos,Athletico-PR,Estádio Urbano Caldeira,SP,PR
18,2023-08-06,Vasco da Gama,Grêmio,Estádio São Januário,RJ,RS
18,2023-08-05,Internacional,Corinthians,Estádio Beira-Rio,RS,SP
18,2023-08-06,São Paulo,Atlético-MG,Estádio Cícero Pompeu de Toledo,SP,MG
18,2023-08-06,Cruzeiro,Botafogo,Estádio Governador Magalhães Pinto,MG,RJ
18,2023-08-07,Cuiabá-MT,Flamengo,Arena Pantanal,,RJ
19,2023-08-13,Flamengo,São Paulo,Estádio Jornalista Mário Filho,RJ,SP
19,2023-08-13,Corinthians,Coritiba FC,Neo Química Arena ,SP,
19,2023-08-13,Grêmio,Fluminense,Arena do Grêmio,RS,RJ
19,2023-08-13,Botafogo,Internacional,Estádio Olímpico Nilton Santos,RJ,RS
19,2023-08-16,Athletico-PR,Cuiabá-MT,Ligga Arena,PR,
19,2023-08-13,Atlético-MG,EC Bahia,Estádio Governador Magalhães Pinto,MG,BA
19,2023-08-15,Palmeiras,Cruzeiro,Allianz Parque,SP,MG
19,2023-08-13,Fortaleza,Santos,Estádio Governador Plácido Castelo,CE,SP
19,2023-08-15,RB Bragantino,Vasco da Gama,Estádio Nabi Abi Chedid,,RJ
19,2023-08-13,América-MG,Goiás,Estádio Raimundo Sampaio,MG,GO
20,2023-08-20,Coritiba FC,Flamengo,Estádio Major Antônio Couto Pereira,,RJ
