Rodada,Data,Mandante,Visitante,Estádio,PRV
29,03/03/2024,Sport,Flamengo,Ilha do Retiro,0
29,03/03/2024,Fluminense,Palmeiras,Maracanã,0
29,03/03/2024,Santos,Ceará,Vila Belmiro,0
29,04/03/2024,Bahia,São Paulo,Arena Fonte Nova,0
29,04/03/2024,Cuiabá,Internacional,Arena Pantanal,0
29,04/03/2024,Vasco,Botafogo,São Januário,0
29,05/03/2024,Vitória,Corinthians,Barradão,0
29,05/03/2024,Fortaleza,Grêmio,Castelão,0
29,05/03/2024,Athletico-PR,Cruzeiro,Ligga Arena,0
30,10/03/2024,Vitória,Sport,Barradão,0
30,10/03/2024,Internacional,Athletico-PR,Beira-Rio,0
30,10/03/2024,Fortaleza,São Paulo,Castelão,0
30,10/03/2024,Botafogo,Palmeiras,Nilton Santos (Engenhão),0
30,11/03/2024,Grêmio,Coritiba,Arena do Grêmio,0
30,11/03/2024,Ceará,Corinthians,Castelão,1
30,11/03/2024,Fluminense,Cruzeiro,Maracanã,0
30,12/03/2024,Bahia,Flamengo,Arena Fonte Nova,0
30,12/03/2024,Atlético-MG,Vasco,Arena MRV,0
30,12/03/2024,Santos,Cuiabá,Vila Belmiro,0
31,17/03/2024,Bahia,Vitória,Arena Fonte Nova,0
31,17/03/2024,Cuiabá,Corinthians,Arena Pantanal,0
31,17/03/2024,Grêmio,Vasco,Arena do Grêmio,0
31,17/03/2024,Cruzeiro,Palmeiras,Mineirão,0
31,18/03/2024,Atlético-MG,Botafogo,Arena MRV,0
31,18/03/2024,Flamengo,Fortaleza,Maracanã,0
31,18/03/2024,Santos,Athletico-PR,Vila Belmiro,0
31,19/03/2024,Internacional,Fluminense,Beira-Rio,0
31,19/03/2024,Ceará,Sport,Castelão,0
31,19/03/2024,São Paulo,Coritiba,Morumbi,0
32,24/03/2024,Atlético-MG,Palmeiras,Arena MRV,0
32,24/03/2024,Ceará,Bahia,Castelão,0
32,24/03/2024,Coritiba,Flamengo,Couto Pereira,0
32,24/03/2024,Santos,Fluminense,Vila Belmiro,0
32,25/03/2024,Internacional,Cruzeiro,Beira-Rio,0
32,25/03/2024,Sport,Cuiabá,Ilha do Retiro,0
32,25/03/2024,São Paulo,Vasco,Morumbi,0
32,26/03/2024,Grêmio,Botafogo,Arena do Grêmio,0
32,26/03/2024,Vitória,Fortaleza,Barradão,0
32,26/03/2024,Corinthians,Athletico-PR,Neo Química Arena,0
33,01/04/2024,Atlético-MG,Grêmio,Arena MRV,0
33,01/04/2024,Vitória,Coritiba,Barradão,0
33,01/04/2024,Corinthians,Fluminense,Neo Química Arena,0
33,02/04/2024,Bahia,Cuiabá,Arena Fonte Nova,0
33,02/04/2024,Vasco,Flamengo,São Januário,0
33,02/04/2024,Santos,Cruzeiro,Vila Belmiro,0
33,31/03/2024,Palmeiras,Internacional,Allianz Parque,0
33,31/03/2024,Fortaleza,Ceará,Castelão,0
33,31/03/2024,Sport,Athletico-PR,Ilha do Retiro,0
33,31/03/2024,São Paulo,Botafogo,Morumbi,0
34,07/04/2024,Palmeiras,Grêmio,Allianz Parque,0
34,07/04/2024,Cuiabá,Fortaleza,Arena Pantanal,0
34,07/04/2024,Cruzeiro,Corinthians,Mineirão,0
34,07/04/2024,Vasco,Vitória,São Januário,0
34,08/04/2024,Athletico-PR,Bahia,Ligga Arena,0
34,08/04/2024,Flamengo,Botafogo,Maracanã,0
34,08/04/2024,Santos,Internacional,Vila Belmiro,0
34,09/04/2024,Coritiba,Ceará,Couto Pereira,0
34,09/04/2024,Sport,Fluminense,Ilha do Retiro,0
34,09/04/2024,São Paulo,Atlético-MG,Morumbi,0
35,14/04/2024,Atlético-MG,Flamengo,Arena MRV,0
35,14/04/2024,Coritiba,Cuiabá,Couto Pereira,0
35,14/04/2024,Fluminense,Bahia,Maracanã,0
35,14/04/2024,Santos,Palmeiras,Vila Belmiro,0
35,15/04/2024,Ceará,Vasco,Castelão,0
35,15/04/2024,Sport,Cruzeiro,Ilha do Retiro,0
